dteday,yr,mnth,season,weathersit,cnt,registered,casual
2011-01-01,2011,Januari,Musim Semi,Mendung,985,654,331
2011-01-02,2011,Januari,Musim Semi,Mendung,801,670,131
2011-01-03,2011,Januari,Musim Semi,Cerah,1349,1229,120
2011-01-04,2011,Januari,Musim Semi,Cerah,1562,1454,108
2011-01-05,2011,Januari,Musim Semi,Cerah,1600,1518,82
2011-01-06,2011,Januari,Musim Semi,Cerah,1606,1518,88
2011-01-07,2011,Januari,Musim Semi,Mendung,1510,1362,148
2011-01-08,2011,Januari,Musim Semi,Mendung,959,891,68
2011-01-09,2011,Januari,Musim Semi,Cerah,822,768,54
2011-01-10,2011,Januari,Musim Semi,Cerah,1321,1280,41
2011-01-11,2011,Januari,Musim Semi,Mendung,1263,1220,43
2011-01-12,2011,Januari,Musim Semi,Cerah,1162,1137,25
2011-01-13,2011,Januari,Musim Semi,Cerah,1406,1368,38
2011-01-14,2011,Januari,Musim Semi,Cerah,1421,1367,54
2011-01-15,2011,Januari,Musim Semi,Mendung,1248,1026,222
2011-01-16,2011,Januari,Musim Semi,Cerah,1204,953,251
2011-01-17,2011,Januari,Musim Semi,Mendung,1000,883,117
2011-01-18,2011,Januari,Musim Semi,Mendung,683,674,9
2011-01-19,2011,Januari,Musim Semi,Mendung,1650,1572,78
2011-01-20,2011,Januari,Musim Semi,Mendung,1927,1844,83
2011-01-21,2011,Januari,Musim Semi,Cerah,1543,1468,75
2011-01-22,2011,Januari,Musim Semi,Cerah,981,888,93
2011-01-23,2011,Januari,Musim Semi,Cerah,986,836,150
2011-01-24,2011,Januari,Musim Semi,Cerah,1416,1330,86
2011-01-25,2011,Januari,Musim Semi,Mendung,1985,1799,186
2011-01-26,2011,Januari,Musim Semi,Salju Ringan/Hujan,506,472,34
2011-01-27,2011,Januari,Musim Semi,Cerah,431,416,15
2011-01-28,2011,Januari,Musim Semi,Mendung,1167,1129,38
2011-01-29,2011,Januari,Musim Semi,Cerah,1098,975,123
2011-01-30,2011,Januari,Musim Semi,Cerah,1096,956,140
2011-01-31,2011,Januari,Musim Semi,Mendung,1501,1459,42
2011-02-01,2011,Februari,Musim Semi,Mendung,1360,1313,47
2011-02-02,2011,Februari,Musim Semi,Mendung,1526,1454,72
2011-02-03,2011,Februari,Musim Semi,Cerah,1550,1489,61
2011-02-04,2011,Februari,Musim Semi,Mendung,1708,1620,88
2011-02-05,2011,Februari,Musim Semi,Mendung,1005,905,100
2011-02-06,2011,Februari,Musim Semi,Cerah,1623,1269,354
2011-02-07,2011,Februari,Musim Semi,Cerah,1712,1592,120
2011-02-08,2011,Februari,Musim Semi,Cerah,1530,1466,64
2011-02-09,2011,Februari,Musim Semi,Mendung,1605,1552,53
2011-02-10,2011,Februari,Musim Semi,Cerah,1538,1491,47
2011-02-11,2011,Februari,Musim Semi,Cerah,1746,1597,149
2011-02-12,2011,Februari,Musim Semi,Cerah,1472,1184,288
2011-02-13,2011,Februari,Musim Semi,Cerah,1589,1192,397
2011-02-14,2011,Februari,Musim Semi,Cerah,1913,1705,208
2011-02-15,2011,Februari,Musim Semi,Cerah,1815,1675,140
2011-02-16,2011,Februari,Musim Semi,Cerah,2115,1897,218
2011-02-17,2011,Februari,Musim Semi,Cerah,2475,2216,259
2011-02-18,2011,Februari,Musim Semi,Cerah,2927,2348,579
2011-02-19,2011,Februari,Musim Semi,Cerah,1635,1103,532
2011-02-20,2011,Februari,Musim Semi,Cerah,1812,1173,639
2011-02-21,2011,Februari,Musim Semi,Mendung,1107,912,195
2011-02-22,2011,Februari,Musim Semi,Cerah,1450,1376,74
2011-02-23,2011,Februari,Musim Semi,Cerah,1917,1778,139
2011-02-24,2011,Februari,Musim Semi,Mendung,1807,1707,100
2011-02-25,2011,Februari,Musim Semi,Mendung,1461,1341,120
2011-02-26,2011,Februari,Musim Semi,Cerah,1969,1545,424
2011-02-27,2011,Februari,Musim Semi,Cerah,2402,1708,694
2011-02-28,2011,Februari,Musim Semi,Mendung,1446,1365,81
2011-03-01,2011,Maret,Musim Semi,Cerah,1851,1714,137
2011-03-02,2011,Maret,Musim Semi,Cerah,2134,1903,231
2011-03-03,2011,Maret,Musim Semi,Cerah,1685,1562,123
2011-03-04,2011,Maret,Musim Semi,Mendung,1944,1730,214
2011-03-05,2011,Maret,Musim Semi,Mendung,2077,1437,640
2011-03-06,2011,Maret,Musim Semi,Mendung,605,491,114
2011-03-07,2011,Maret,Musim Semi,Cerah,1872,1628,244
2011-03-08,2011,Maret,Musim Semi,Cerah,2133,1817,316
2011-03-09,2011,Maret,Musim Semi,Mendung,1891,1700,191
2011-03-10,2011,Maret,Musim Semi,Salju Ringan/Hujan,623,577,46
2011-03-11,2011,Maret,Musim Semi,Mendung,1977,1730,247
2011-03-12,2011,Maret,Musim Semi,Cerah,2132,1408,724
2011-03-13,2011,Maret,Musim Semi,Cerah,2417,1435,982
2011-03-14,2011,Maret,Musim Semi,Cerah,2046,1687,359
2011-03-15,2011,Maret,Musim Semi,Mendung,2056,1767,289
